GEOID,County_Name,NOAA_CDD_Recent5yr,NOAA_CDD_Trend_perDecade,NOAA_Tmax_Summer_Recent5yr_F,NOAA_Tmax_Summer_Trend_perDecade_F,NOAA_Heat_Data_Recent_Year,HWAV_AFREQ,HWAV_RISKS,HWAV_RISKR,HWAV_EALT,HWAV_EALR,HWAV_ALR_NPCTL,SOVI_SCORE,RESL_SCORE,EAL_SCORE,NOAA_Tmax_Trend_Positive,Heat_Climate_Stress_Index,Heat_Climate_Data_Coverage_Pct,Heat_Climate_Source
17001,Adams County,1220.0,-31.536,85.06,-1.004,2024,8.421052631578931,91.23314065510597,Relatively Moderate,3649429.0535604404,Relatively Moderate,33.38538413491568,29.6437659,92.01653944020356,68.7190594059406,0.0,57.0,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17003,Alexander County,1603.0,-39.893,88.0,-1.575,2024,11.15789473684211,50.224791265253685,Relatively Low,257440.51365026718,Relatively Low,16.146158650843223,86.76844784,42.43002544529262,33.01361386138614,0.0,51.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17005,Bond County,1331.0,-55.393,86.68,-0.979,2024,10.315789473684196,65.9601798330122,Relatively Low,745051.8735153702,Relatively Low,24.047470331043098,43.73409669,76.78117048346056,39.35643564356436,0.0,50.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17007,Boone County,826.4,36.464,83.02,0.343,2024,3.0000000000000058,46.82080924855491,Relatively Low,349587.325541576,Relatively Low,25.234228607120553,27.89440204,72.2328244274809,62.5,0.343,26.0,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17009,Brown County,1134.6,-40.536,84.58,-1.179,2024,8.368421052631588,62.55619781631342,Relatively Low,686342.3043979044,Relatively Low,18.769519050593377,33.55597964,71.08778625954199,5.600247524752476,0.0,37.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17011,Bureau County,935.2,-20.143,83.6,-0.554,2024,6.52631578947368,48.16955684007707,Relatively Low,338543.6924726912,Relatively Low,19.23797626483448,41.69847328,80.08905852417303,64.26361386138613,0.0,23.6,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17013,Calhoun County,1338.6,-43.857,86.26,-1.182,2024,11.368421052631573,59.60179833012202,Relatively Low,686305.4730284702,Relatively Low,7.339163023110556,17.77989822,74.96819338422391,8.879950495049505,0.0,42.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17015,Carroll County,862.6,-12.607,82.66,-0.868,2024,5.052631578947369,35.966602440590876,Very Low,167583.03061043407,Very Low,50.9369144284822,55.37531807,69.40203562340967,38.521039603960396,0.0,22.8,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17017,Cass County,1139.2,-42.0,85.3,-0.721,2024,8.210526315789467,64.83622350674374,Relatively Low,731384.4037998553,Relatively Low,11.055590256089944,38.74045802,76.65394402035624,42.698019801980195,0.0,38.0,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17019,Champaign County,1043.2,-50.821,84.2,-1.214,2024,6.473684210526346,89.14579319203597,Relatively Moderate,3042344.817367649,Relatively Moderate,69.17551530293566,30.8524173,86.29134860050891,90.25371287128714,0.0,59.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17021,Christian County,1173.0,-63.893,85.52,-1.014,2024,7.947368421052622,68.17597944765575,Relatively Low,1033957.3549883149,Relatively Low,12.148657089319176,17.04834606,84.98727735368958,63.242574257425744,0.0,41.2,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17023,Clark County,1185.2,-61.214,85.52,-1.196,2024,7.526315789473678,52.79383429672448,Relatively Low,417700.72259403986,Relatively Low,67.9575265459088,42.68447837,67.1119592875318,30.167079207920793,0.0,50.2,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17025,Clay County,1298.2,-44.393,85.68,-1.482,2024,8.052631578947388,62.10661528580603,Relatively Low,586597.2095322168,Relatively Low,8.40099937539038,52.03562341,88.07251908396947,41.86262376237624,0.0,40.9,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17027,Clinton County,1424.8,-27.429,87.56,-0.771,2024,10.94736842105263,77.23185613359024,Relatively Low,1440023.2357903356,Relatively Low,23.95377888819488,27.63994911,88.77226463104326,70.38985148514851,0.0,59.8,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17029,Coles County,1131.6,-79.75,85.0,-1.146,2024,7.21052631578947,70.74502247912653,Relatively Low,1007314.7682953891,Relatively Low,7.495315427857589,30.62977099,73.95038167938931,72.95792079207921,0.0,38.6,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17031,Cook County,965.4,28.893,83.28,-0.068,2024,2.9026886558101475,99.83943481053308,Very High,193392333.51957452,Very High,22.361024359775143,61.73664122,73.2824427480916,99.9690594059406,0.0,46.9,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17033,Crawford County,1244.2,-75.5,85.16,-1.839,2024,7.894736842105262,55.42710340398202,Relatively Low,586592.4183593702,Relatively Low,6.402248594628357,17.23918575,75.50890585241731,48.63861386138614,0.0,34.8,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17035,Cumberland County,1178.6,-75.429,84.92,-1.593,2024,7.578947368421055,43.93063583815029,Relatively Low,235670.60889601146,Relatively Low,9.306683322923174,63.23155216,88.13613231552164,23.762376237623762,0.0,28.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17037,DeKalb County,820.2,-8.143,82.68,-0.175,2024,3.4210526315789487,58.991650610147715,Relatively Low,599912.6215912139,Relatively Low,29.138038725796378,29.19847328,75.85877862595419,82.76608910891089,0.0,25.9,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17039,De Witt County,1082.0,-25.821,84.64,-0.814,2024,6.789473684210531,48.1053307642903,Relatively Low,342661.723280444,Relatively Low,7.932542161149282,41.18956743,95.19720101781171,33.10643564356436,0.0,26.8,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17041,Douglas County,1123.4,-55.464,84.72,-1.064,2024,6.947368421052633,53.53243416827232,Relatively Low,384433.31938867556,Relatively Low,8.057464084946908,57.91984733,63.13613231552163,59.777227722772274,0.0,30.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17043,DuPage County,936.2,15.393,83.42,-0.239,2024,3.118009961099179,93.32048811817599,Relatively Moderate,5626743.673204555,Relatively Moderate,74.17239225484073,15.80788804,71.7557251908397,98.39108910891089,0.0,58.0,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17045,Edgar County,1064.0,-90.25,84.74,-1.211,2024,6.842105263157889,59.4412331406551,Relatively Low,589987.5625118664,Relatively Low,65.39662710805746,32.56997455,70.26081424936386,41.089108910891085,0.0,47.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17047,Edwards County,1397.0,-88.143,86.4,-1.868,2024,9.105263157894731,48.97238278741169,Relatively Low,254818.2120195317,Relatively Low,6.964397251717676,84.09669211,61.54580152671756,18.53341584158416,0.0,39.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17049,Effingham County,1200.2,-85.393,84.86,-1.843,2024,7.947368421052619,66.85934489402698,Relatively Low,906518.7024212572,Relatively Low,10.80574640849469,22.96437659,95.0381679389313,61.386138613861384,0.0,39.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17051,Fayette County,1253.0,-78.321,85.96,-1.268,2024,9.947368421052607,70.90558766859345,Relatively Low,920271.8739678485,Relatively Low,16.17738913179263,45.48346056,92.43002544529261,50.92821782178218,0.0,46.6,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17053,Ford County,971.0,-45.143,83.78,-1.071,2024,4.842105263157889,31.34232498394348,Very Low,147568.8029481276,Very Low,76.17114303560275,39.21755725,91.79389312977099,30.105198019801982,0.0,33.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17055,Franklin County,1395.8,-53.964,86.8,-1.364,2024,10.105263157894703,87.37957610789981,Relatively Moderate,1784613.3999022562,Relatively Moderate,7.776389756402248,83.30152672,68.8295165394402,74.13366336633663,0.0,57.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17057,Fulton County,1149.8,30.179,85.12,-0.282,2024,6.947368421052632,76.71804752729608,Relatively Low,1299368.4990203467,Relatively Low,15.14678326046221,35.94147583,77.60814249363868,62.25247524752475,0.0,44.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17059,Gallatin County,1457.8,-98.357,86.9,-1.721,2024,9.526315789473685,71.6441875401413,Relatively Low,623545.7128630744,Relatively Low,7.745159275452843,91.28498728,17.17557251908397,21.472772277227723,0.0,52.0,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17061,Greene County,1265.6,-30.964,85.9,-0.925,2024,9.579041550345709,61.849710982658955,Relatively Low,686318.4493695772,Relatively Low,10.618363522798251,27.38549618,67.6208651399491,17.543316831683168,0.0,41.2,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17063,Grundy County,986.6,-37.464,84.18,-0.243,2024,4.316051168791255,45.857418111753375,Relatively Low,592116.6617606566,Relatively Low,72.6420986883198,10.62340967,99.49109414758269,83.72524752475248,0.0,40.2,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17065,Hamilton County,1411.2,-63.893,87.1,-1.132,2024,9.315789473684193,44.05908798972383,Relatively Low,345049.06984929735,Relatively Low,15.178013741411617,15.80788804,75.12722646310432,43.7190594059406,0.0,41.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17067,Hancock County,1142.6,-55.714,84.08,-1.371,2024,9.157894736842112,80.44315992292871,Relatively Moderate,1285504.86882264,Relatively Low,41.5365396627108,64.82188295,61.35496183206107,28.18688118811881,0.0,50.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17069,Hardin County,1443.2,-108.714,86.52,-2.207,2024,9.47368421052631,34.48940269749518,Very Low,146841.22873968733,Very Low,11.648969394128668,58.90585242,25.44529262086514,6.868811881188119,0.0,35.5,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17071,Henderson County,1081.8,-23.357,84.16,-0.654,2024,9.000000000000005,52.15157353885678,Relatively Low,306838.02809616947,Relatively Low,28.638351030605868,77.06743003,37.11832061068702,12.685643564356436,0.0,33.0,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17073,Henry County,962.8,-29.964,83.44,-0.632,2024,7.000000000000003,70.23121387283237,Relatively Low,1160923.5980578603,Relatively Low,5.4653341661461585,14.75826972,83.81043256997455,66.67698019801979,0.0,29.7,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17075,Iroquois County,946.2,-48.429,83.74,-0.946,2024,4.736842105263159,43.99486191393706,Relatively Low,288703.3125579191,Relatively Low,77.01436602123673,33.96946565,65.45801526717557,75.83539603960396,0.0,38.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17077,Jackson County,1417.6,-87.607,86.88,-2.064,2024,10.578947368421051,90.68721901091843,Relatively Moderate,2421844.1242747568,Relatively Moderate,13.241723922548406,76.59033079,65.20356234096693,83.69430693069307,0.0,60.8,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17079,Jasper County,1222.6,-64.857,84.42,-2.05,2024,7.894736842105271,37.21901091843288,Very Low,271741.76252786233,Relatively Low,10.118675827607746,11.38676845,74.61832061068702,35.117574257425744,0.0,25.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17081,Jefferson County,1383.2,-1.071,87.06,-0.386,2024,9.894736842105258,81.27809890815672,Relatively Moderate,1474737.2164238663,Relatively Low,12.336039975015616,52.8307888,79.1030534351145,76.05198019801979,0.0,56.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17083,Jersey County,1371.6,-28.714,86.44,-0.936,2024,11.104691671525243,79.28709055876686,Relatively Moderate,2275947.17868908,Relatively Moderate,9.931292941911305,10.62340967,82.82442748091603,38.459158415841586,0.0,52.6,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17085,Jo Daviess County,792.4,-28.679,82.38,-0.479,2024,4.736842105263157,48.683365446371226,Relatively Low,330105.1942322766,Relatively Low,53.778888194878206,48.7913486,59.541984732824424,52.103960396039604,0.0,26.7,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17087,Johnson County,1422.0,-111.821,86.4,-2.239,2024,10.473684210526335,68.85035324341683,Relatively Low,623348.402768656,Relatively Low,17.801374141161773,81.96564885,47.55089058524173,42.11014851485149,0.0,51.3,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17089,Kane County,848.0,1.179,82.96,-0.211,2024,3.1690046286394833,90.01284521515736,Relatively Moderate,3696987.657564207,Relatively Moderate,70.08119925046846,16.98473282,63.74045801526718,95.60643564356435,0.0,52.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17091,Kankakee County,936.8,-37.786,83.72,-0.411,2024,4.421346669168855,77.68143866409763,Relatively Low,1255117.093942418,Relatively Low,70.95565271705185,49.96819338,83.7150127226463,87.4381188118812,0.0,51.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17093,Kendall County,921.0,-47.321,83.58,-0.4,2024,3.5265036921384314,61.881824020552344,Relatively Low,1100807.1818285165,Relatively Low,71.48657089319175,10.62340967,96.02417302798982,88.33539603960396,0.0,43.6,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17095,Knox County,997.6,-32.25,83.7,-0.889,2024,6.421052631578942,80.28259473346179,Relatively Moderate,1430178.3488001276,Relatively Low,13.085571517801375,49.80916031,65.99872773536896,56.745049504950494,0.0,37.7,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17097,Lake County,839.0,52.0,82.48,0.318,2024,2.4994859352387895,92.51766217084136,Relatively Moderate,4990712.873916212,Relatively Moderate,67.61399125546534,14.05852417,78.05343511450383,97.06064356435643,0.318,56.0,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17099,LaSalle County,927.8,-56.357,83.62,-0.643,2024,4.368421052631592,69.68529222864484,Relatively Low,909376.1702954991,Relatively Low,14.990630855715178,38.93129771,90.64885496183206,86.38613861386139,0.0,31.7,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
