site_id,name,layer,operator,city,state,address_or_hint,lat,lon,location_precision,surroundings_snapshot,community_signals,stressors,sources,County_Name,County_ID,Total_Population,Hispanic_Latino,Not_Hispanic_Latino,Total_One_Race,White,Black_African_American,American_Indian_Alaska_Native,Asian,Native_Hawaiian_Pacific_Islander,Some_Other_Race,Two_or_More_Races,Pct_White,Pct_Black,Pct_Hispanic,Pct_Asian,Pct_Minority,Median_Household_Income,Per_Capita_Income,Poverty_Rate_Percent,Median_Monthly_Housing_Cost,GEOID
IL-DN-01,Karis Critical (Naperville Lucent site),denied,Karis Critical,Naperville,IL,"1960 Lucent Ln, Naperville, IL",41.812,-88.17,exact,Suburban site close to homes; framed within I-88 corridor redevelopment context,"Months of organized opposition; large public turnout; conditional use permit denied Jan 20, 2026","Diesel generators, fuel storage and deliveries, noise, air quality, power demand framing, process trust",https://patch.com/illinois/naperville/data-center-proposal-voted-down-naperville; https://www.nctv17.org/news/naperville-city-council-votes-down-proposed-data-center/; https://abc7chicago.com/post/naperville-illinois-city-council-denies-plan-karis-critical-data-center-vacant-lucent-campus-off-warrenville-road/18442413/; https://www.fox32chicago.com/news/naperville-data-center-meeting; https://www.cbsnews.com/chicago/news/naperville-city-council-discuss-controversial-plan-data-center/; https://climate.uchicago.edu/news/experts-explain-impact-of-data-centers-as-naperville-weighs-a-proposal/; https://data.census.gov/table,DuPage County,43,932877,144291,788586,759015,591441,44201,873,118982,219,3299,29571,63.4,4.74,15.47,12.75,36.6,110502,57051,6.4,1816,17043
IL-EX-01,Meta DeKalb Data Center,existing,Meta,DeKalb,IL,"Gurler Rd, DeKalb, IL",41.884,-88.75,approx,South edge of DeKalb near major arterials and industrial growth areas,Expansion framed as jobs + investment by City and Meta,"Substation or grid upgrades, water use, backup generators, noise, lighting spill",https://www.cityofdekalb.com/CivicAlerts.aspx?AID=670&ARC=1459; https://www.cityofdekalb.com/CivicAlerts.aspx?AID=697&ARC=1463; https://data.census.gov/table,DeKalb County,37,100420,13597,86823,82705,71249,8730,119,2280,29,298,4118,70.95,8.69,13.54,2.27,29.05,69022,35054,15.9,1311,17037
IL-EX-02,Stream Data Centers Chicago II,existing,Stream Data Centers,Elk Grove Village,IL,"Elk Grove Village, IL (Stream Chicago II)",42,-87.97,approx,Elk Grove positioned as a data center and connectivity hub,Partnerships and utility readiness emphasized,"Grid capacity expansions, generator/mechanical noise, construction impacts if further phases",https://www.streamdatacenters.com/locations/chicago-data-centers/; https://www.streamdatacenters.com/news/stream-expands-chicago-presence-with-second-data-center/; https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-EX-03,Stream Data Centers Chicago I,existing,Stream Data Centers,Elk Grove Village,IL,"Elk Grove Village, IL (Stream Chicago I)",42,-87.97,approx,Same regional cluster dynamics as Chicago II,Public framing focuses on infrastructure readiness more than community impact,"Cumulative impacts across nearby sites, grid upgrades, noise",https://www.streamdatacenters.com/news/stream-expands-chicago-presence-with-second-data-center/; https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-EX-04,Equinix CH3,existing,Equinix,Elk Grove Village (Chicago metro),IL,"Elk Grove area, Chicago metro (Equinix CH3)",42,-87.97,approx,Part of the Elk Grove data center cluster,"Appears in industry operations context, not community process","Grid and redundancy infrastructure, generator testing schedules, noise",https://www.datacenterdynamics.com/en/news/cboe-edga-equities-exchange-migrates-secondary-data-center-to-equinix-facility-in-illinois/; https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-EX-05,Digital Realty ORD10 (350 E Cermak),existing,Digital Realty,Chicago,IL,"350 E Cermak Rd, Chicago, IL 60616",41.853,-87.62,exact,South Loop dense urban corridor; historic industrial building repurposed over time,"Emphasis on interconnection ecosystem and modernization, limited community framing","Generator testing and emissions, rooftop mechanical noise, construction staging impacts",https://www.digitalrealty.com/data-centers/americas/chicago/ord10; https://www.digitalrealty.com/about/projects/digital-cermak; https://en.wikipedia.org/wiki/R.R._Donnelley_and_Sons_Co._Calumet_Plant; https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-EX-06,CoreSite CH1,existing,CoreSite,Chicago,IL,"427 S LaSalle St, Chicago, IL 60605",41.876,-87.632,exact,Downtown Chicago near Board of Trade area,"Public-facing content is facility capabilities, not community engagement","Generator testing and emissions permitting, rooftop noise, street impacts from upgrades",https://www.coresite.com/data-center/ch1-chicago-il; https://www.coresite.com/spec-sheets/chicago-ch1-facility-spec-sheet; https://www.coresite.com/data-center-locations/chicago; https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-EX-07,CoreSite CH2,existing,CoreSite,Chicago,IL,"1432 S Clinton St, Chicago, IL 60607",41.864,-87.641,exact,Near other major hubs; clustered infrastructure zone,Commercial framing; community process not foregrounded,"Generator testing, diesel storage, heat rejection, traffic impacts from construction",https://www.coresite.com/data-center/ch2-chicago-il; https://www.coresite.com/data-center/ch1-chicago-il; https://www.coresite.com/data-center-locations/chicago; https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-PR-01,Edged Project Vector,proposed,Edged (Endeavour Energy network),DeKalb area,IL,"IL-23 near Keslinger Rd and Crego Rd, DeKalb, IL",41.848,-88.752,approx,Described as south of Meta DeKalb; planned internal roads to Route 23,Multiple hearings; significant public turnout and concerns,"Noise, light pollution, stormwater, landscaping, lighting shielding",https://www.cityofdekalb.com/m/newsflash/home/detail/964; https://www.shawlocal.com/daily-chronicle/2025/12/02/standing-room-only-for-first-public-look-at-dekalb-560-acre-endeavour-energy-data-center-proposal/; https://www.northernpublicradio.org/illinois/2025-12-09/dekalb-city-council-gives-green-light-to-data-center-project; https://northernstar.info/130777/news/dozens-gather-to-voice-concerns-over-proposed-dekalb-data-center/; https://data.census.gov/table,DeKalb County,37,100420,13597,86823,82705,71249,8730,119,2280,29,298,4118,70.95,8.69,13.54,2.27,29.05,69022,35054,15.9,1311,17037
IL-PR-02,Equinix Minooka project,proposed,Equinix,Minooka area,IL,"Holt Rd & Ridge Rd, Minooka, IL",41.457,-88.266,approx,Farmland conversion to a large campus concept; village materials include maps and documents,Village FAQ published; open house held,"Water allocation concerns, land use shift, industrial footprint impacts",https://www.minooka.com/news/posts/minooka-data-center-faq-and-fact-sheet; https://www.minooka.com/news/posts/data-center-open-house; https://patch.com/illinois/channahon-minooka/minooka-getting-data-center-citizens-start-reacting-proposed-location; https://www.datacenterdynamics.com/en/news/village-of-minooka-illinois-set-to-house-data-center/; https://www.lockhaven.com/news/local-news/2025/06/as-pa-courts-data-centers-illinois-serves-as-a-cautionary-tale; https://data.census.gov/table,Grundy County,63,52533,5712,46821,44957,43472,833,48,466,16,122,1864,82.75,1.59,10.87,0.89,17.25,93060,43744,6.3,,17063
IL-PR-03,Compass Datacenters campus (former Sears HQ),proposed,Compass Datacenters,Hoffman Estates,IL,"3333 Beverly Rd, Hoffman Estates, IL",42.064,-88.121,approx,Redevelopment of an existing corporate campus footprint,Investment scale and ComEd involvement emphasized,"Demolition impacts, long construction timeline, substation and power delivery planning",https://www.compassdatacenters.com/news/compass-kicks-off-development-of-its-first-hyperscale-campus-in-illinois/; https://www.datacenterdynamics.com/en/news/compass-starts-work-on-data-center-campus-at-former-sears-hq-in-chicago/; https://www.dailyherald.com/20251208/business/after-sears-teardown-walls-are-going-up-for-hoffman-estates-data-center-campus/; https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-PR-04,CloudHQ campus (former United Airlines HQ site),proposed,CloudHQ,Mount Prospect area,IL,"Dempster St & Linneman Rd & Algonquin Rd, Mount Prospect, IL",42.037,-87.951,approx,Borders major arterial roads; village discussions include road and pedestrian upgrades,Revisions discussed years after initial approval; ongoing negotiation,"Traffic and road modifications, substation integration, power delivery planning",https://www.dailyherald.com/20251027/technology/new-data-center-proposal-comes-before-mount-prospect-board/; https://www.businesswire.com/news/home/20220823005598/en/ComEd-CloudHQ-Break-Ground-on-New-Hyperscale-Data-Center-in-Mount-Prospect; https://www.datacenterdynamics.com/en/news/cloudhq-breaks-ground-on-15-million-sq-ft-campus-in-mount-prospect-illinois/; https://therealdeal.com/chicago/2025/11/18/cloud-hq-to-spend-3-million-on-extras-in-chicago-area-deal/; https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-PR-05,Prime Data Centers Prime ORD campus,proposed,Prime Data Centers,Elk Grove Village,IL,"1600 E Higgins Rd, Elk Grove Village, IL",42.019,-87.955,approx,Elk Grove cluster; first building described as three-story with high MW capacity,Mostly investment and construction milestone framing,"Substation and grid upgrades, cumulative impacts with neighbors",https://www.prnewswire.com/news-releases/prime-data-centers-breaks-ground-on-1b-chicago-data-center-campus-in-elk-grove-village-301681170.html; https://www.datacenterdynamics.com/en/news/prime-breaks-ground-on-175mw-campus-in-elk-grove-chicago/; https://www.clunegc.com/project/prime-data-centers/; https://primedatacenters.com/news/data-center-safety-milestone/; https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-PR-06,Stream major campus (subdivision annexation area),proposed,Stream Data Centers,Elk Grove Village,IL,Elk Grove Village subdivision annexation area,42,-87.97,approx,Embedded in or adjacent to residential blocks; land assembly signal,Annexation process is a strong signal to track approvals and mitigation promises,"Direct proximity noise and light, construction disturbance, substations mentioned",https://www.journal-topics.com/articles/annexation-of-subdivision-approved-by-elk-grove-village-for-2-1-million-sq-ft-data-center/; https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-PR-07,CyrusOne proposed campus (Talkington Township near Waverly),proposed,CyrusOne,Talkington Township,IL,"Thayer Rd & Clark Rd, Talkington Township, IL",39.531,-89.924,approx,Rural farmland; proximity to transmission and nearby solar noted in reporting,"County hosted hearing, collecting questions and comments; organized opposition reported","Power draw magnitude, grid implications, water supply and utility planning concerns",https://sangamonil.gov/departments/a-c/county-board/proposed-cyrusone-data-center; https://www.nprillinois.org/economy-business/2025-11-04/plans-for-sangamon-county-data-center-raise-hopes-concerns; https://www.illinoistimes.com/news/first-data-center-in-sangamon-county/; https://www.nprillinois.org/sangamon-county/2025-11-12/public-hearing-planned-on-proposed-sangamon-county-data-center-project; https://www.myjournalcourier.com/news/article/sangamon-county-data-center-draws-questions-21152687.php; https://www.springfieldbusinessjournal.com/news/first-data-center-in-sangamon-county/; https://data.census.gov/table,Sangamon County,167,196343,5309,191034,181584,150467,25686,349,4300,55,727,9450,76.63,13.08,2.7,2.19,23.37,74114,42851,12.9,1120,17167
IL-INV-01,365 Data Centers Chicago 1,extra_inventory,365 Data Centers,Chicago,IL,,41.876,-87.632,approx,Industrial/Commercial data center corridor.,,,https://www.datacentermap.com/usa/illinois/chicago/; https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-INV-02,365 Data Centers Chicago 2,extra_inventory,365 Data Centers,Chicago,IL,,41.853,-87.62,approx,Industrial/Commercial data center corridor.,,,https://www.datacentermap.com/usa/illinois/chicago/; https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-INV-03,Aligned ORD-01,extra_inventory,Aligned Data Centers,Northlake,IL,,41.912,-87.905,approx,Industrial/Commercial data center corridor.,,,https://www.datacentermap.com/usa/illinois/chicago/; https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-INV-04,Aligned ORD-02,extra_inventory,Aligned Data Centers,Northlake,IL,,41.911,-87.905,approx,Industrial/Commercial data center corridor.,,,https://www.datacentermap.com/usa/illinois/chicago/; https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-INV-05,Centersquare Chicago Data Center - ORD1,extra_inventory,Centersquare,,IL,,41.853,-87.619,approx,,,,https://data.msdlive.org/records/65g71-a4766; https://data.census.gov/table https://data.census.gov/table,Cook County,31,5275541,1382778,3892763,3756689,2135243,1185601,5655,408691,961,20538,136074,40.47,22.47,26.21,7.75,59.53,81797,47801,13.3,1573,17031
IL-INV-06,Centersquare Elk Grove Village Data Center Campus ORD2,extra_inventory,Centersquare,,IL,,41.992,-87.958,approx,,,,https://data.msdlive.org/records/65g71-a4748; https://data.census.gov/table https://data.census.gov/table,DuPage County,43,932877,144291,788586,759015,591441,44201,873,118982,219,3299,29571,63.4,4.74,15.47,12.75,36.6,110502,57051,6.4,1816,17043
IL-INV-07,Centersquare Lisle ORD4 Data Center,extra_inventory,Centersquare,,IL,,41.802,-88.095,approx,,,,https://data.msdlive.org/records/65g71-a4765; https://data.census.gov/table https://data.census.gov/table,DuPage County,43,932877,144291,788586,759015,591441,44201,873,118982,219,3299,29571,63.4,4.74,15.47,12.75,36.6,110502,57051,6.4,1816,17043
